Food Item,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B12 (mcg),Folate (B9) (mcg),Vitamin B6 (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Riboflavin (B2) (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Copper (mg),Phosphorus (mg),Manganese (mg),Selenium (mcg),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Omega-3 Fatty Acids (g),Omega-6 Fatty Acids (g),Cholesterol (mg),Glycemic Index,Water Content (g),Serving Size (g or cups),Net Carbs (g),Complex Carbs (g),Simple Carbs (g),Antioxidants (mg),Flavonoids (mg),Carotenoids (mg),Caffeine (mg),Acidity (pH),Allergen Information,Dietary Labels,Energy Density (kcal/g)
"Brown Rice (1 cup, cooked)",215,5.0,45.0,1.6,3.5,0.9,10,869,123,954,3.579147749332366,72,2.5515993555060295,52,0.5155332843079374,5.377506358776723,0.8647680374492142,1.1444702443199954,366,8.993518749436923,122.93072438829344,912,5.822565718171243,0.7058184369795065,101,1.5025203128235747,57,6.015620688219004,2.3903594314980614,6.774346844463005,2.193557744419002,8.479625912891999,72,Medium,525,200,32,19,13,258,31,150,153,3.673266327823654,Dairy-Free,Vegetarian,1.7604497385457332
Greek Yogurt (1 cup),100,10.0,6.0,0.0,0.0,6.0,40,2491,175,75,13.515855940110185,86,2.0947164580601934,363,1.484184020700196,14.018827621627455,3.724038417014555,2.9078029903397624,322,9.395256157283164,85.48421733018526,429,1.304423474805554,1.9863474782855233,664,1.4953696605594735,64,7.531877038481741,2.5696885389927084,9.97235071587587,2.1596256067296125,7.229751935086205,71,High,278,200,35,27,8,140,44,143,124,6.2479869703957664,Dairy-Free,Low Carb,1.4141952622212304
"Spinach (1 cup, cooked)",41,5.0,7.0,0.5,4.3,0.6,125,2533,188,570,10.160095732549467,183,0.5979771823534876,81,2.472974803143459,19.65604566066967,1.6233111698476252,2.776497226491759,66,8.170023928028648,178.04501459930955,219,9.085584820784947,1.3890106673166,662,0.23774732860960363,65,4.333194902328969,3.0712069487206084,0.3054197814973836,2.7839473845942333,5.311537308992527,84,High,828,1,47,23,24,396,35,17,99,3.0288562239782313,Soy-Free,Keto-Friendly,0.7806765855061936
Carrots (1 medium),25,0.6,6.0,0.1,1.7,2.9,42,1284,72,832,3.1294599651118205,140,1.9267885754660248,336,1.0565353216375393,14.131011531023171,4.449708323136228,2.663818359299536,299,6.538138079077779,208.30459596701945,683,9.117615482211258,1.4871428165463254,368,1.8010677916469993,40,5.4737775349974624,5.980183648366367,0.9124239411372093,2.908452923738401,7.305914330966171,109,High,880,1,25,6,19,431,7,127,52,5.120234189370132,Nut-Free,Low Carb,0.8429925464883044
Turkey Breast (100g),135,30.0,0.0,1.0,0.0,0.0,50,4655,141,59,7.164527857156886,111,1.7232443150081969,131,1.2908365404847562,17.780668005548563,4.1591749476371636,1.4110566799830202,480,3.3853490591162925,185.52282284446517,318,7.133213403224736,0.5045428426481807,248,0.9430971888613486,89,0.6207013670851114,1.7181617830127693,0.770266963712315,4.281481543994857,0.9432409665177222,29,Medium,583,1,11,27,-16,364,92,18,127,5.067155559498696,Shellfish-Free,Vegan,1.394393372247933
Cottage Cheese (1/2 cup),90,11.0,4.0,4.0,0.0,2.0,400,3485,138,427,9.614172350977228,74,0.9836564359253677,92,1.8743799929373532,19.01577162811828,4.810235978638745,2.5858595654017367,67,9.837976755392102,247.43998883878606,913,9.298794753674775,0.2496859349074372,95,1.3534629130158597,31,0.8985791800004683,1.042431988847775,3.9836128626674006,1.5417771961447575,5.286558321768563,8,Medium,999,1,35,32,3,210,19,160,13,5.495285723007279,Gluten-Free,Vegetarian,2.9654271586617518
"Quinoa (1 cup, cooked)",222,8.0,39.0,3.6,5.0,0.9,13,4217,17,682,2.168497189851366,129,2.4692288105019706,440,2.1295873350473173,10.248269918693994,4.476929069561144,0.24034805764272027,263,3.104293588323414,75.41143549432698,222,8.20880378893006,0.6261132105077815,554,1.9234095163166265,45,8.29425404186332,6.7886408908551354,8.215883614858138,4.10835632184008,2.9127649181644544,140,Medium,808,1,18,35,-17,372,58,30,4,3.9588021213387,Dairy-Free,Vegetarian,0.9038829583622355
Orange (1 medium),62,1.2,15.0,0.2,3.1,12.0,0,4943,166,686,13.353829157702743,100,3.413452722104857,154,1.3347832480122006,14.34417460897443,4.699982386023563,0.5307005303456406,189,2.425240758909095,219.99747880586116,343,8.37111647130697,0.5729069318670648,589,0.2900235226774581,32,0.5967165568249666,7.790979397931701,8.440563327871356,2.8296687434602363,9.72619463222973,81,Medium,422,200,43,28,15,305,74,138,249,3.0394273197208057,Contains Artificial Colors,Paleo,2.7279194994377924
Tofu (100g),76,8.0,1.9,4.8,0.3,0.6,7,3004,64,731,12.250449496181492,17,2.1865664331935752,50,1.119337740802585,17.187415817560993,4.364340784309885,1.300506325603757,166,4.700464080972536,193.9894396418767,985,5.912224580414366,0.5456337914213009,563,1.0163252730244996,20,1.6939912563260728,5.009294044165054,7.369795957211517,1.5026477485857348,8.571179506239018,63,Medium,518,150,43,27,16,77,15,55,26,4.819051664565597,Dairy-Free,Paleo,1.366609188287863
"Mushrooms (1 cup, cooked)",35,3.0,7.0,0.5,2.1,3.1,8,574,112,633,8.072894830072936,188,2.6442598293318373,110,2.3756515999701344,7.775569344613336,3.620218552766849,1.5018369933781666,44,1.0399854217676903,96.92290181395506,686,3.407562383053671,0.4662332115853751,66,0.1942641996576704,39,7.9583265895044155,3.6383271026838537,8.968782418299476,1.4756302200303857,7.332756958339769,37,High,469,100,13,18,-5,447,34,71,124,3.285624845033018,Contains Artificial Colors,Low Carb,3.1503948053362785
Peanut Butter (2 tbsp),188,8.0,6.0,16.0,2.0,3.0,1,1182,140,201,14.539772613628386,82,0.7053513576980504,319,1.8542899333433385,5.966549014647503,1.2661661845644618,0.8641707452104849,84,9.795697414382012,186.1898904776725,617,2.569091593606005,1.1920358122452683,364,1.0491363043150592,40,0.01145950628256287,4.320427135264763,3.2285994416945254,1.8056875855286225,9.337476352497319,118,Medium,875,100,27,26,1,29,39,11,28,6.568775547227473,Nut-Free,Keto-Friendly,1.7849854262019227
"Spinach (1 cup, raw)",7,0.9,1.1,0.1,0.7,0.1,24,2658,41,769,6.848653709851396,143,1.7530009874509842,229,0.7380426089862822,18.985372882788436,1.7226838348434184,1.1337823454585836,441,6.090118785956036,34.978229540379274,120,3.6084002093698273,0.7233966040994613,485,0.579292879926385,60,2.8240432884586433,3.884078338719519,0.8815464425229913,3.1134662130998776,3.4684330456547374,21,High,581,150,16,7,9,280,47,113,2,3.6946653027566936,Gluten-Free,Vegan,1.0151699398921266
Whole Wheat Bread (1 slice),80,4.0,14.0,1.0,2.0,1.0,140,2147,19,98,14.77754446651097,116,0.8490754554934876,273,0.6378557562692972,14.799766507007542,1.457271347586229,0.5720506929735695,298,5.791044870809665,199.44003576173256,289,6.47070658584609,1.6586555285903077,437,1.8310245056203542,23,5.840386578266218,9.599849082376753,0.5815302798985011,1.1540586567997457,9.008798989881813,98,High,449,100,33,15,18,102,65,84,227,4.700931869994642,Shellfish-Free,Low Carb,3.4575333503315306
Cheddar Cheese (1 slice),113,7.0,1.0,9.0,0.0,0.3,174,2847,119,203,10.35087998325078,98,2.338387506609531,55,1.467099701580738,5.1739605341407,3.2161360444619254,1.518488691976131,380,6.730064659047339,137.75934462090464,324,2.1402370904077896,0.44950009391002954,126,0.857135739118865,61,5.954499314692966,7.6808990521914025,8.521327196193862,4.601667808361337,3.2523823210671035,105,High,233,200,42,32,10,142,44,110,136,4.736001560961535,Dairy-Free,Vegetarian,1.0299035576897348
Tomato (1 medium),22,1.1,4.8,0.2,1.5,3.2,6,1075,171,908,9.88539782555518,48,3.3154464746424637,152,0.9401801320945449,9.532584460846154,2.7662897208812063,2.402145549316798,84,5.221724653883463,80.14964145022076,714,2.9570822480545553,0.9827914346502344,420,1.3043576474989504,89,7.771529082294736,2.080872148501103,7.304362943536913,2.8745629208895016,7.32796719691153,63,Low,910,150,43,9,34,304,97,181,256,5.2114585913528195,Nut-Free,Vegetarian,2.202859463696808
Cucumber (1 medium),16,0.7,3.8,0.1,0.5,1.9,2,1906,133,342,3.32336853414099,122,2.4853331974149153,59,1.007969506752507,16.13258362121838,4.401859987212907,2.0179451416177865,338,0.804603412398145,167.38655242820323,955,4.946578196556912,0.12594988920955197,214,1.734545803147643,37,5.059262544921705,3.841891520539801,6.986153060111208,4.600078884980034,7.364169117764491,8,Medium,611,150,26,19,7,305,91,97,239,6.130129395081589,Egg-Free,Vegetarian,2.2078594342884026
Pineapple (1 cup),82,0.9,22.0,0.2,2.3,16.0,1,289,96,629,13.346988616265016,197,0.7304091449432646,120,2.2553843576556964,11.3941968274504,4.787027899245841,0.41259751736006967,87,6.31695724398377,163.98879969145815,565,2.713975935983848,1.015196412664865,658,1.9690145309926355,27,5.094018695309703,5.4401229136310985,3.396763385456688,0.23202179289577352,0.18349876454093472,125,Medium,139,100,8,29,-21,144,46,137,278,4.888592602035118,Shellfish-Free,Vegan,1.6184403535333396
Grapes (1 cup),104,1.1,27.0,0.2,1.4,23.0,2,2834,64,99,6.984855630888612,37,1.5639986149552485,139,0.6791320486326213,13.349089865151893,2.3218695032816496,1.5139866498504766,264,7.303651831086091,60.27669345270393,198,6.092114862302585,0.20609261966530135,666,1.0572568036242374,67,7.253105755407004,6.129858620636885,3.799051886182262,1.7130568523073668,3.610596982781952,94,High,665,100,11,37,-26,465,46,92,159,3.1030130688818924,Contains Artificial Colors,Low Carb,3.354465777647393
Strawberries (1 cup),49,1.1,12.0,0.5,3.0,7.0,1,3105,41,713,3.271267680954711,106,2.151990138322555,275,1.9307282304577793,15.321595838855995,2.7785774897636557,2.1231745100612023,274,4.459116075928505,17.29537955476627,929,9.270172270335134,1.957674672558023,73,0.9659396354367661,74,4.986244632662835,4.681838960287671,9.581135288993192,0.11403830343811538,0.19432672408497886,87,Low,755,200,44,7,37,361,7,14,5,6.084441644700358,Soy-Free,Vegan,3.0316236872351947
Kiwi (1 medium),42,0.8,10.0,0.4,2.1,6.0,1,4758,187,580,1.1765052796606266,191,1.7096232683997568,207,1.0422845067611761,12.818174587370631,4.871823605618626,1.6366963600064295,496,7.694307934676333,114.06942085640173,462,7.606848974179702,1.6021250444357844,84,0.24390532606327156,26,6.084910865636168,8.101266350119591,0.6380474409793502,1.361259075489849,9.970920176102485,112,Medium,432,1,12,7,5,365,94,102,142,3.328693258483566,Shellfish-Free,Low Fat,2.989458682514726
Watermelon (1 cup),46,0.9,12.0,0.2,0.6,9.0,2,1999,144,661,8.836579570937356,46,3.000932031425517,277,2.020656442808275,11.26150711652172,1.743075237304146,1.235859229953092,313,2.656512343714996,146.6828486426611,182,6.831052834414674,1.0312118056092652,563,0.12420399234070857,71,8.977740682550511,7.676060194582317,7.7373173693779265,4.310032361342941,1.22196761829238,71,High,418,150,39,26,13,42,82,48,180,5.566213169035457,Nut-Free,Vegetarian,3.4224558062884336
Bell Pepper (1 medium),24,1.0,6.0,0.2,2.1,3.5,1,1367,102,109,8.383594709717467,146,2.9440130141299674,454,1.9448227689270892,15.242671403367696,4.065758489114661,1.9035518217232468,76,2.6021276151287482,220.3852668089436,792,6.035854021845898,0.2645159805407655,510,1.2567239757471427,84,4.014510076123719,5.051579186281668,3.0963332370839316,0.18304857921100426,5.428108956481093,49,Low,123,1,13,9,4,383,87,137,29,6.213718034607582,Dairy-Free,Paleo,1.8713280145889506
Zucchini (1 medium),33,2.4,7.5,0.6,2.5,3.3,3,1628,17,216,11.07095071316822,91,2.3354930603096644,175,0.514783802888586,14.823697673211813,1.5135795605086082,2.909052129370799,230,2.033461383031953,232.77203095542265,763,5.135505137942117,1.2256463375017872,187,0.2243822690805274,63,3.851250709192222,8.544293867817304,0.39054618412556086,2.1807354995787245,7.9055623876263725,147,High,318,100,17,9,8,302,89,75,252,4.130760689924175,Shellfish-Free,Low Carb,0.7915573268600878
"Chickpeas (1/2 cup, cooked)",135,7.0,22.0,2.0,6.0,3.7,1,3302,74,251,13.46361274224923,65,1.6203738353981159,493,1.5182708258431983,12.9675756034804,3.566570519413724,0.3752329383216262,476,4.033950217997038,136.91325235762395,155,2.272356666529267,1.5416511263335673,623,0.8227199803730991,29,0.035489918647713115,7.510895304423859,7.42570110742456,0.5878353523661389,2.0126360226089246,80,Low,64,150,43,16,27,41,25,54,39,4.796425926736125,Gluten-Free,Paleo,2.7963677763493813
"Lentils (1/2 cup, cooked)",115,9.0,20.0,0.4,7.8,1.8,2,3656,66,906,2.111692185002413,196,1.2660091212897324,258,0.7786389647560927,7.835998854256663,1.6412703243735387,1.2310465761679261,173,8.546614336196294,190.91283610445078,801,8.999749326555223,0.46236278070901604,620,0.10685222860227685,21,6.134262615212319,7.785818487206432,3.309118856783746,2.0842032963018386,4.850526680954727,32,High,378,1,24,17,7,52,77,84,186,3.0573433687432665,Contains Artificial Colors,Low Carb,1.6424377383558015
Coconut Oil (1 tbsp),121,0.0,0.0,14.0,0.0,0.0,0,3990,76,195,11.240950864765074,94,0.8176229546393879,146,2.2324540611573536,8.71042975180516,4.476800249741241,1.2791569738336774,489,8.36516459041611,115.43278535871926,121,2.861092019121945,1.1795958474962327,314,1.2689322480347744,43,0.2977190740713198,9.564007794334167,7.221475187427966,4.194257921321887,6.074287609211508,62,Medium,844,200,25,7,18,456,81,110,226,6.215500798359542,Egg-Free,Vegetarian,1.0710354554105548
Butter (1 tbsp),102,0.1,0.1,11.5,0.0,0.1,31,746,196,964,3.623767217366151,11,1.5646930504596621,123,2.243171765724813,19.43833242879785,3.0266507468150454,1.773205200358276,464,4.136829975653287,189.05971757749433,679,1.367434336992527,1.6470007069274493,382,0.9082888048369427,81,5.041484897283163,2.6646694120920267,7.076543831181201,3.115355167012596,1.6020475439554538,104,High,441,200,23,39,-16,301,57,150,219,5.813044359683277,Gluten-Free,Paleo,1.9497420296607602
Olive Oil (1 tbsp),119,0.0,0.0,13.5,0.0,0.0,0,2988,81,725,13.014478744200296,198,1.7395175516231585,164,1.336691614987516,3.1353327135389906,1.3367013839347306,0.5413063454575618,384,6.096627991812247,59.15236598540006,284,7.625144202672605,1.559670777528001,237,0.3413394625939469,96,8.042337890322266,2.676481623668492,5.3478687543311505,3.683781726657116,7.785554599115385,98,High,759,200,6,6,0,363,48,102,42,3.9255495775513722,Gluten-Free,Paleo,3.2771568205014896
Chicken Thigh (100g),209,26.0,0.0,10.0,0.0,0.0,82,2535,63,488,12.466889194063185,67,2.527468775312221,240,1.388791236902161,6.101593427803871,1.5096612906431872,0.6122647866243616,229,7.347755006511698,99.05553635284754,621,2.168347576146081,1.6256848339475904,112,0.6630984529975619,79,5.4992107051966315,8.889522556906401,7.773731292105488,1.745520577247905,2.993364571893653,5,Low,483,150,48,32,16,314,50,128,143,4.560904791463157,Gluten-Free,Low Carb,1.0140710570438851
Pork (100g),242,27.0,0.0,14.0,0.0,0.0,60,700,76,291,8.571112569797622,116,2.47447947289272,219,1.1065658788090542,10.35563342488238,2.7223213806864512,0.9275480193937784,181,2.7914643589662185,162.21471971526756,677,4.033011995641172,1.7707145072524677,328,1.1823553280466566,78,2.69636165216676,7.722263733856795,5.810383241712435,4.721988475050708,2.110230763388403,134,Low,393,150,44,22,22,290,41,41,277,5.7812660072044455,Nut-Free,Low Fat,3.0460964456892254
Beef (100g),250,26.0,0.0,17.0,0.0,0.0,72,2463,60,630,10.943399180726361,132,0.7103244189237709,356,1.933212597920062,16.89786403673193,4.827209115086955,2.8720231254787065,263,2.097340316000097,14.35791174569892,363,0.7687068187643074,1.8815959941029934,591,1.3477553992189564,43,7.861684214493713,9.265455414356275,2.8663685284826066,3.5463104688975005,5.582887464374169,8,Medium,244,150,34,28,6,117,42,118,173,4.432652487404827,Nut-Free,Low Fat,1.7546148248453521
Apple (1 medium),95,0.5,25.0,0.3,4.4,19.0,2,2161,106,736,5.400901584572478,197,1.6857779462934732,497,1.2173227260529182,4.10983761086483,3.963389737476445,2.2289148855696177,219,9.734911935516955,183.39071448134897,324,1.8021454541342568,0.8704901948867182,220,0.9784381713605489,28,2.6971700408253882,0.6313016032445307,7.34115301064419,2.1089940964226543,4.103136276429379,100,High,971,150,27,11,16,105,92,52,246,3.649659102230799,Shellfish-Free,Paleo,0.9104059421094259
Banana (1 medium),105,1.3,27.0,0.3,3.1,14.0,1,341,101,610,7.596350585059405,177,1.0453366016520858,253,1.0355849490452675,6.262137744367587,2.697393392716303,2.0189105749053593,197,6.366794475491376,210.52852030436003,734,2.145434492219165,1.180661294793467,552,1.627522320572797,42,7.330317809458987,6.277570772615966,5.8913981587772355,2.1323240011352746,9.202859446364178,60,Low,85,150,44,32,12,75,42,145,172,5.074022115511633,Contains Artificial Colors,Paleo,3.0451469119659693
Chicken Breast (100g),165,31.0,0.0,3.6,0.0,0.0,74,2141,17,532,12.502916567946603,173,0.9704381159504171,105,1.3644621190090165,2.250166138109541,2.019736150529977,2.4691772934433605,200,9.823449357419808,105.79399866254835,137,1.0168962136266906,1.6022530994866606,582,0.3136367822356728,92,6.1025845519023125,1.4462833812344744,0.12727281689920544,4.593420889716488,8.800626981981539,98,Medium,966,1,17,24,-7,18,15,83,40,5.89427028114576,Soy-Free,Vegetarian,3.4088610235742856
Broccoli (1 cup),55,3.7,11.2,0.6,5.1,2.2,64,2924,171,157,7.429712760424994,123,2.9819064492117375,257,0.6829750367749174,14.41372005496555,2.971708220067992,0.46997175985840955,398,3.7086818777561765,117.50618012251944,222,6.73824108791703,1.424565646496988,348,0.2606368729635748,85,1.699962967480012,5.038971982925826,9.016441777703093,2.882023467176959,4.833506633888832,147,Medium,254,1,37,32,5,239,97,196,49,4.283238028011784,Contains Artificial Colors,Low Carb,1.3738121475050349
Almonds (28g),160,6.0,6.0,14.0,3.5,1.2,0,2712,44,275,6.009175714556185,116,0.6257456501487726,90,1.9932064092884076,5.525979274036707,3.8676237504287885,2.59206517719888,224,7.178801149754249,214.30773093196743,929,8.451574060129614,1.9914884337023198,250,0.1840641111338358,61,9.051338748441857,1.5574693185344424,5.4564361832431345,3.5318960495152085,3.5926377472559756,57,Low,869,200,36,22,14,230,49,148,179,3.4870890865778312,Egg-Free,Low Carb,1.4106086295262066
Oats (1/2 cup),154,6.0,27.0,3.0,4.0,1.0,0,1463,105,722,7.918974261504198,46,1.757548627706364,81,0.5251928025435739,8.38482026274806,4.0276786480376,1.8250148702737616,384,2.6147345471417585,196.15711247824802,255,4.046496360476439,0.12598753709882388,184,1.1180728949539402,48,2.006436829571957,1.2807850898487927,8.686272654795317,2.085176122565854,3.255179816312652,59,Low,700,1,32,30,2,367,68,165,158,6.318176647247907,Shellfish-Free,Keto-Friendly,1.6716379491197995
Eggs (2 large),140,12.5,1.0,9.5,0.0,1.0,140,1578,97,680,12.595489534121057,88,1.0046109672995547,64,1.7889701230411879,9.43032749356369,1.9607395914362509,1.072454121630913,95,2.981401627102173,79.15587736801,400,8.808476528822906,0.7747531091000023,321,1.44184023804547,40,9.895870741406698,0.12168345382033152,8.827368389822446,1.1184638238235705,2.6756362308150736,34,High,825,1,28,9,19,411,48,48,36,4.011207465788493,Gluten-Free,Low Carb,2.9423910933824216
Salmon (100g),206,22.0,0.0,13.0,0.0,0.0,50,2656,87,710,5.692912663192218,101,3.137990647035422,111,0.8657290535097448,17.93496477652266,3.7452167069624474,2.465980241662502,483,5.363070152061428,87.75426557476935,932,2.526792458321202,0.6339530599133846,584,0.34799065890280645,74,0.07310488654940772,6.302388123829044,4.449666567350885,3.617796459972093,5.445478537124773,46,Medium,106,200,46,6,40,287,85,35,26,5.051259816426426,Shellfish-Free,Vegetarian,0.5312515902184994
Avocado (1 medium),234,3.0,12.0,21.0,10.0,0.2,11,875,41,711,3.432662303900413,27,2.1711215398251054,204,0.9648080924288263,8.8152755162935,3.4600495101628375,2.4274371496110096,115,3.5363721923266764,172.9307757737432,166,3.591209023831775,0.5984001153145158,491,1.3139966815252457,84,2.6348337714290304,3.5902261669008606,5.07659996451231,3.0391188607069393,8.049786047345435,45,Low,159,200,32,30,2,108,66,81,255,5.765372597956972,Contains Artificial Colors,Paleo,1.1718696552126031
Sweet Potato (1 medium),112,2.0,26.0,0.1,4.0,5.0,41,4114,129,481,10.968196284630931,107,1.194141909130544,333,1.7712639972800799,3.759275378389732,4.8160053139833225,2.5525548869785086,341,2.0924048564855524,145.1675421875587,744,1.9320014337960996,0.5228065867478829,136,1.006200755760116,49,1.9986029727419885,1.051882848789717,4.157543876756019,2.506714402123897,3.1075660820355777,86,Medium,735,100,34,37,-3,280,94,111,277,4.268300801576883,Dairy-Free,Keto-Friendly,2.6176994333189785
"Brown Rice (1 cup, cooked)",215,5.0,45.0,1.6,3.5,0.9,10,134,55,854,12.563694977913146,72,2.0072818614991292,258,2.4858869315658145,10.9619838284623,4.6899063072860665,0.43500191031024826,305,2.997366668898597,48.93509706315926,973,6.395312356480487,1.4473352975489353,80,1.975954550287119,96,0.13993410170462628,3.2283777773130984,4.494367753080455,3.120104699972319,1.900940896880815,3,High,545,200,45,35,10,272,65,35,248,5.594546149489673,Shellfish-Free,Paleo,1.7169183514565782
Greek Yogurt (1 cup),100,10.0,6.0,0.0,0.0,6.0,40,3252,153,704,2.4089246993294666,159,2.6944590791093477,369,2.0554349781451013,19.296201898323964,4.052206965216097,2.9111476104877503,28,0.839609747425714,84.38317821499994,493,4.488761113267914,0.2610429992231115,170,1.4631998576061818,30,7.323679001473156,1.6894409145158495,8.951471589717277,1.0414279303211682,4.754838061832868,9,Low,767,1,33,9,24,406,94,41,180,4.838838025766114,Contains Artificial Colors,Low Carb,1.4908868689043826
